# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 24.19 s
# Particulas activas: 2/4
# Total colisiones: 25
#
# OBSTACULOS
obstaculo,0,200,150,80,80
obstaculo,1,520,150,80,80
obstaculo,2,200,370,80,80
obstaculo,3,520,370,80,80
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.89,2,161.043,384.3,-112,-130,1.2,1
trayectoria,0.89,3,643.552,402.1,119,-110,0.8,1
trayectoria,0.9,0,166.7,208,-105,120,1,1
trayectoria,0.9,1,653.744,226,126,140,1.5,1
trayectoria,0.9,2,159.923,383,-112,-130,1.2,1
trayectoria,0.9,3,644.742,401,119,-110,0.8,1
trayectoria,0.91,0,165.65,209.2,-105,120,1,1
trayectoria,0.91,1,655.004,227.4,126,140,1.5,1
trayectoria,0.91,2,158.803,381.7,-112,-130,1.2,1
trayectoria,0.91,3,645.932,399.9,119,-110,0.8,1
trayectoria,0.92,0,164.6,210.4,-105,120,1,1
trayectoria,0.92,1,656.264,228.8,126,140,1.5,1
trayectoria,0.92,2,157.683,380.4,-112,-130,1.2,1
trayectoria,0.92,3,647.122,398.8,119,-110,0.8,1
trayectoria,0.93,0,163.55,211.6,-105,120,1,1
trayectoria,0.93,1,657.524,230.2,126,140,1.5,1
trayectoria,0.93,2,156.563,379.1,-112,-130,1.2,1
trayectoria,0.93,3,648.312,397.7,119,-110,0.8,1
trayectoria,0.94,0,162.5,212.8,-105,120,1,1
trayectoria,0.94,1,658.784,231.6,126,140,1.5,1
trayectoria,0.94,2,155.443,377.8,-112,-130,1.2,1
trayectoria,0.94,3,649.502,396.6,119,-110,0.8,1
trayectoria,0.95,0,161.45,214,-105,120,1,1
trayectoria,0.95,1,660.044,233,126,140,1.5,1
trayectoria,0.95,2,154.323,376.5,-112,-130,1.2,1
trayectoria,0.95,3,650.692,395.5,119,-110,0.8,1
trayectoria,0.96,0,160.4,215.2,-105,120,1,1
trayectoria,0.96,1,661.304,234.4,126,140,1.5,1
trayectoria,0.96,2,153.203,375.2,-112,-130,1.2,1
trayectoria,0.96,3,651.882,394.4,119,-110,0.8,1
trayectoria,0.97,0,159.35,216.4,-105,120,1,1
trayectoria,0.97,1,662.564,235.8,126,140,1.5,1
trayectoria,0.97,2,152.083,373.9,-112,-130,1.2,1
trayectoria,0.97,3,653.072,393.3,119,-110,0.8,1
trayectoria,0.98,0,158.3,217.6,-105,120,1,1
trayectoria,0.98,1,663.824,237.2,126,140,1.5,1
trayectoria,0.98,2,150.963,372.6,-112,-130,1.2,1
trayectoria,0.98,3,654.262,392.2,119,-110,0.8,1
trayectoria,0.99,0,157.25,218.8,-105,120,1,1
trayectoria,0.99,1,665.084,238.6,126,140,1.5,1
trayectoria,0.99,2,149.843,371.3,-112,-130,1.2,1
trayectoria,0.99,3,655.452,391.1,119,-110,0.8,1
trayectoria,1,0,156.2,220,-105,120,1,1
trayectoria,1,1,666.344,240,126,140,1.5,1
trayectoria,1,2,148.723,370,-112,-130,1.2,1
trayectoria,1,3,656.642,390,119,-110,0.8,1
trayectoria,1.01,0,155.15,221.2,-105,120,1,1
trayectoria,1.01,1,667.604,241.4,126,140,1.5,1
trayectoria,1.01,2,147.603,368.7,-112,-130,1.2,1
trayectoria,1.01,3,657.832,388.9,119,-110,0.8,1
trayectoria,1.02,0,154.1,222.4,-105,120,1,1
trayectoria,1.02,1,668.864,242.8,126,140,1.5,1
trayectoria,1.02,2,146.483,367.4,-112,-130,1.2,1
trayectoria,1.02,3,659.022,387.8,119,-110,0.8,1
trayectoria,1.03,0,153.05,223.6,-105,120,1,1
trayectoria,1.03,1,670.124,244.2,126,140,1.5,1
