# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 22.87 s
# Particulas activas: 3/4
# Total colisiones: 11
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,1.16,1,484,300,-100,0,1,1
trayectoria,1.16,2,358,266,50,100,0.8,1
trayectoria,1.16,3,442,334,-50,-100,0.8,1
trayectoria,1.17,0,317,300,100,0,1,1
trayectoria,1.17,1,483,300,-100,0,1,1
trayectoria,1.17,2,358.5,267,50,100,0.8,1
trayectoria,1.17,3,441.5,333,-50,-100,0.8,1
trayectoria,1.18,0,318,300,100,0,1,1
trayectoria,1.18,1,482,300,-100,0,1,1
trayectoria,1.18,2,359,268,50,100,0.8,1
trayectoria,1.18,3,441,332,-50,-100,0.8,1
trayectoria,1.19,0,319,300,100,0,1,1
trayectoria,1.19,1,481,300,-100,0,1,1
trayectoria,1.19,2,359.5,269,50,100,0.8,1
trayectoria,1.19,3,440.5,331,-50,-100,0.8,1
trayectoria,1.2,0,320,300,100,0,1,1
trayectoria,1.2,1,480,300,-100,0,1,1
trayectoria,1.2,2,360,270,50,100,0.8,1
trayectoria,1.2,3,440,330,-50,-100,0.8,1
trayectoria,1.21,0,321,300,100,0,1,1
trayectoria,1.21,1,479,300,-100,0,1,1
trayectoria,1.21,2,360.5,271,50,100,0.8,1
trayectoria,1.21,3,439.5,329,-50,-100,0.8,1
